us_cost_uplift,tariff_pct,localise_advantage_usd_per_kwh,localise_wins
1.0,0.0,38.59,1
1.0,2.5,40.09,1
1.0,5.0,41.59,1
1.0,7.5,43.09,1
1.0,10.0,44.59,1
1.0,12.5,46.09,1
1.0,15.0,47.59,1
1.0,17.5,49.09,1
1.0,20.0,50.59,1
1.0,22.5,52.09,1
1.0,25.0,53.59,1
1.0,27.5,55.09,1
1.0,30.0,56.59,1
1.0,32.5,58.09,1
1.0,35.0,59.59,1
1.0,37.5,61.09,1
1.0,40.0,62.59,1
1.0,42.5,64.09,1
1.0,45.0,65.59,1
1.0,47.5,67.09,1
1.0,50.0,68.59,1
1.0,52.5,70.09,1
1.0,55.0,71.59,1
1.0,57.5,73.09,1
1.0,60.0,74.59,1
1.05,0.0,35.59,1
1.05,2.5,37.09,1
1.05,5.0,38.59,1
1.05,7.5,40.09,1
1.05,10.0,41.59,1
1.05,12.5,43.09,1
1.05,15.0,44.59,1
1.05,17.5,46.09,1
1.05,20.0,47.59,1
1.05,22.5,49.09,1
1.05,25.0,50.59,1
1.05,27.5,52.09,1
1.05,30.0,53.59,1
1.05,32.5,55.09,1
1.05,35.0,56.59,1
1.05,37.5,58.09,1
1.05,40.0,59.59,1
1.05,42.5,61.09,1
1.05,45.0,62.59,1
1.05,47.5,64.09,1
1.05,50.0,65.59,1
1.05,52.5,67.09,1
1.05,55.0,68.59,1
1.05,57.5,70.09,1
1.05,60.0,71.59,1
1.1,0.0,32.59,1
1.1,2.5,34.09,1
1.1,5.0,35.59,1
1.1,7.5,37.09,1
1.1,10.0,38.59,1
1.1,12.5,40.09,1
1.1,15.0,41.59,1
1.1,17.5,43.09,1
1.1,20.0,44.59,1
1.1,22.5,46.09,1
1.1,25.0,47.59,1
1.1,27.5,49.09,1
1.1,30.0,50.59,1
1.1,32.5,52.09,1
1.1,35.0,53.59,1
1.1,37.5,55.09,1
1.1,40.0,56.59,1
1.1,42.5,58.09,1
1.1,45.0,59.59,1
1.1,47.5,61.09,1
1.1,50.0,62.59,1
1.1,52.5,64.09,1
1.1,55.0,65.59,1
1.1,57.5,67.09,1
1.1,60.0,68.59,1
1.15,0.0,29.59,1
1.15,2.5,31.09,1
1.15,5.0,32.59,1
1.15,7.5,34.09,1
1.15,10.0,35.59,1
1.15,12.5,37.09,1
1.15,15.0,38.59,1
1.15,17.5,40.09,1
1.15,20.0,41.59,1
1.15,22.5,43.09,1
1.15,25.0,44.59,1
1.15,27.5,46.09,1
1.15,30.0,47.59,1
1.15,32.5,49.09,1
1.15,35.0,50.59,1
1.15,37.5,52.09,1
1.15,40.0,53.59,1
1.15,42.5,55.09,1
1.15,45.0,56.59,1
1.15,47.5,58.09,1
1.15,50.0,59.59,1
1.15,52.5,61.09,1
1.15,55.0,62.59,1
1.15,57.5,64.09,1
1.15,60.0,65.59,1
1.2,0.0,26.59,1
1.2,2.5,28.09,1
1.2,5.0,29.59,1
1.2,7.5,31.09,1
1.2,10.0,32.59,1
1.2,12.5,34.09,1
1.2,15.0,35.59,1
1.2,17.5,37.09,1
1.2,20.0,38.59,1
1.2,22.5,40.09,1
1.2,25.0,41.59,1
1.2,27.5,43.09,1
1.2,30.0,44.59,1
1.2,32.5,46.09,1
1.2,35.0,47.59,1
1.2,37.5,49.09,1
1.2,40.0,50.59,1
1.2,42.5,52.09,1
1.2,45.0,53.59,1
1.2,47.5,55.09,1
1.2,50.0,56.59,1
1.2,52.5,58.09,1
1.2,55.0,59.59,1
1.2,57.5,61.09,1
1.2,60.0,62.59,1
1.25,0.0,23.59,1
1.25,2.5,25.09,1
1.25,5.0,26.59,1
1.25,7.5,28.09,1
1.25,10.0,29.59,1
1.25,12.5,31.09,1
1.25,15.0,32.59,1
1.25,17.5,34.09,1
1.25,20.0,35.59,1
1.25,22.5,37.09,1
1.25,25.0,38.59,1
1.25,27.5,40.09,1
1.25,30.0,41.59,1
1.25,32.5,43.09,1
1.25,35.0,44.59,1
1.25,37.5,46.09,1
1.25,40.0,47.59,1
1.25,42.5,49.09,1
1.25,45.0,50.59,1
1.25,47.5,52.09,1
1.25,50.0,53.59,1
1.25,52.5,55.09,1
1.25,55.0,56.59,1
1.25,57.5,58.09,1
1.25,60.0,59.59,1
1.3,0.0,20.59,1
1.3,2.5,22.09,1
1.3,5.0,23.59,1
1.3,7.5,25.09,1
1.3,10.0,26.59,1
1.3,12.5,28.09,1
1.3,15.0,29.59,1
1.3,17.5,31.09,1
1.3,20.0,32.59,1
1.3,22.5,34.09,1
1.3,25.0,35.59,1
1.3,27.5,37.09,1
1.3,30.0,38.59,1
1.3,32.5,40.09,1
1.3,35.0,41.59,1
1.3,37.5,43.09,1
1.3,40.0,44.59,1
1.3,42.5,46.09,1
1.3,45.0,47.59,1
1.3,47.5,49.09,1
1.3,50.0,50.59,1
1.3,52.5,52.09,1
1.3,55.0,53.59,1
1.3,57.5,55.09,1
1.3,60.0,56.59,1
1.35,0.0,17.59,1
1.35,2.5,19.09,1
1.35,5.0,20.59,1
1.35,7.5,22.09,1
1.35,10.0,23.59,1
1.35,12.5,25.09,1
1.35,15.0,26.59,1
1.35,17.5,28.09,1
1.35,20.0,29.59,1
1.35,22.5,31.09,1
1.35,25.0,32.59,1
1.35,27.5,34.09,1
1.35,30.0,35.59,1
1.35,32.5,37.09,1
1.35,35.0,38.59,1
1.35,37.5,40.09,1
1.35,40.0,41.59,1
1.35,42.5,43.09,1
1.35,45.0,44.59,1
1.35,47.5,46.09,1
