bin_low_usd_per_kwh,bin_high_usd_per_kwh,count
10.92,11.58,2
11.58,12.23,1
12.23,12.89,0
12.89,13.55,1
13.55,14.21,6
14.21,14.86,8
14.86,15.52,9
15.52,16.18,12
16.18,16.83,21
16.83,17.49,32
17.49,18.15,40
18.15,18.81,55
18.81,19.46,76
19.46,20.12,87
20.12,20.78,114
20.78,21.43,136
21.43,22.09,157
22.09,22.75,212
22.75,23.4,243
23.4,24.06,259
24.06,24.72,303
24.72,25.38,360
25.38,26.03,354
26.03,26.69,370
26.69,27.35,384
27.35,28.0,417
28.0,28.66,488
28.66,29.32,548
29.32,29.98,582
29.98,30.63,521
30.63,31.29,581
31.29,31.95,635
31.95,32.6,693
32.6,33.26,723
33.26,33.92,732
33.92,34.57,829
34.57,35.23,819
35.23,35.89,826
35.89,36.55,801
36.55,37.2,839
37.2,37.86,771
37.86,38.52,798
38.52,39.17,744
39.17,39.83,685
39.83,40.49,637
40.49,41.15,621
41.15,41.8,493
41.8,42.46,421
42.46,43.12,378
43.12,43.77,292
43.77,44.43,227
44.43,45.09,211
45.09,45.74,146
45.74,46.4,126
46.4,47.06,78
47.06,47.72,51
47.72,48.37,30
48.37,49.03,4
49.03,49.69,8
49.69,50.34,3
